IdUbigeo,Distrito,Provincia,Departamento,PAIS,PAIS_DPTO,PAIS_DPTO_PROV,PAIS_DPTO_PROV_DIST
051010000,,,Amazonas,Peru,Peru Amazonas,Peru Amazonas ,Peru Amazonas  
051010100,,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas 
051010101,Chachapoyas,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Chachapoyas
051010102,Asunción,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Asunción
051010103,Balsas,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Balsas
051010104,Cheto,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Cheto
051010105,Chiliquin,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Chiliquin
051010106,Chuquibamba,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Chuquibamba
051010107,Granada,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Granada
051010108,Huancas,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Huancas
051010109,La Jalca,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas La Jalca
051010110,Leimebamba,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Leimebamba
051010111,Levanto,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Levanto
051010112,Magdalena,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Magdalena
051010113,Mariscal Castilla,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Mariscal Castilla
051010114,Molinopampa,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Molinopampa
051010115,Montevideo,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Montevideo
051010116,Olleros,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Olleros
051010117,Quinjalca,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Quinjalca
051010118,San Francisco de Daguas,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas San Francisco de Daguas
051010119,San Isidro de Maino,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas San Isidro de Maino
051010120,Soloco,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Soloco
051010121,Sonche,Chachapoyas,Amazonas,Peru,Peru Amazonas,Peru Amazonas Chachapoyas,Peru Amazonas Chachapoyas Sonche
051010200,,Bagua,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bagua,Peru Amazonas Bagua 
051010201,Bagua,Bagua,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bagua,Peru Amazonas Bagua Bagua
051010202,Aramango,Bagua,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bagua,Peru Amazonas Bagua Aramango
051010203,Copallin,Bagua,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bagua,Peru Amazonas Bagua Copallin
051010204,El Parco,Bagua,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bagua,Peru Amazonas Bagua El Parco
051010205,Imaza,Bagua,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bagua,Peru Amazonas Bagua Imaza
051010206,La Peca,Bagua,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bagua,Peru Amazonas Bagua La Peca
051010300,,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará 
051010301,Jumbilla,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Jumbilla
051010302,Chisquilla,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Chisquilla
051010303,Churuja,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Churuja
051010304,Corosha,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Corosha
051010305,Cuispes,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Cuispes
051010306,Florida,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Florida
051010307,Jazan,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Jazan
051010308,Recta,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Recta
051010309,San Carlos,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará San Carlos
051010310,Shipasbamba,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Shipasbamba
051010311,Valera,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Valera
051010312,Yambrasbamba,Bongará,Amazonas,Peru,Peru Amazonas,Peru Amazonas Bongará,Peru Amazonas Bongará Yambrasbamba
051010400,,Condorcanqui,Amazonas,Peru,Peru Amazonas,Peru Amazonas Condorcanqui,Peru Amazonas Condorcanqui 
051010401,Nieva,Condorcanqui,Amazonas,Peru,Peru Amazonas,Peru Amazonas Condorcanqui,Peru Amazonas Condorcanqui Nieva
051010402,El Cenepa,Condorcanqui,Amazonas,Peru,Peru Amazonas,Peru Amazonas Condorcanqui,Peru Amazonas Condorcanqui El Cenepa
051010403,Río Santiago,Condorcanqui,Amazonas,Peru,Peru Amazonas,Peru Amazonas Condorcanqui,Peru Amazonas Condorcanqui Río Santiago
051010500,,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya 
051010501,Lamud,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Lamud
051010502,Camporredondo,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Camporredondo
051010503,Cocabamba,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Cocabamba
051010504,Colcamar,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Colcamar
051010505,Conila,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Conila
051010506,Inguilpata,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Inguilpata
051010507,Longuita,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Longuita
051010508,Lonya Chico,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Lonya Chico
051010509,Luya,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Luya
051010510,Luya Viejo,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Luya Viejo
051010511,María,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya María
051010512,Ocalli,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Ocalli
051010513,Ocumal,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Ocumal
051010514,Pisuquia,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Pisuquia
051010515,Providencia,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Providencia
051010516,San Cristóbal,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya San Cristóbal
051010517,San Francisco de Yeso,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya San Francisco de Yeso
051010518,San Jerónimo,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya San Jerónimo
051010519,San Juan de Lopecancha,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya San Juan de Lopecancha
051010520,Santa Catalina,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Santa Catalina
051010521,Santo Tomas,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Santo Tomas
051010522,Tingo,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Tingo
051010523,Trita,Luya,Amazonas,Peru,Peru Amazonas,Peru Amazonas Luya,Peru Amazonas Luya Trita
051010600,,Rodríguez de Mendoza,Amazonas,Peru,Peru Amazonas,Peru Amazonas Rodríguez de Mendoza,Peru Amazonas Rodríguez de Mendoza 
051010601,San Nicolás,Rodríguez de Mendoza,Amazonas,Peru,Peru Amazonas,Peru Amazonas Rodríguez de Mendoza,Peru Amazonas Rodríguez de Mendoza San Nicolás
051010602,Chirimoto,Rodríguez de Mendoza,Amazonas,Peru,Peru Amazonas,Peru Amazonas Rodríguez de Mendoza,Peru Amazonas Rodríguez de Mendoza Chirimoto
051010603,Cochamal,Rodríguez de Mendoza,Amazonas,Peru,Peru Amazonas,Peru Amazonas Rodríguez de Mendoza,Peru Amazonas Rodríguez de Mendoza Cochamal
